,lat,lon,name,capacity,distrito
218,37.376576,-5.9727121,Avenida Ramón y Cajal,20,2
219,37.3670886,-5.971157,Ronda Tamarguillo,19,1
220,37.3695198,-5.9686169,Ronda Tamarguillo,20,4
221,37.377487,-5.9665541,Avenida de la Ciudad Jardin,20,4
222,37.4110149,-5.971678,Alcalde Manuel del Valle,15,1
223,37.4086593,-5.9731965,Calle Orfebre Dominguez Vázquez,20,2
224,37.3700534,-5.9594961,Avenida Hytasa,20,4
225,37.3741964,-6.0088305,Glorieta Carlos Cano,20,1
226,37.3783344,-6.0115563,Avenida de Alvar Núñez,19,1
227,37.3811114,-6.0120053,Avenida de Coria,20,3
228,37.4189136,-5.9632171,Camino de los Toros,20,2
229,37.4114666,-5.9667631,Avenida Mujer Trabajadora,20,1
230,37.3976897,-5.9616014,Calle Doctor Laffon,15,1
231,37.3871628,-5.9483902,Avenida de Andalucía - Aprox. Entrada TUSSAM,20,1
232,37.3970135,-5.923757,Avenida de las Ciencias,15,3
233,37.3973905,-5.918777,Calle Flor de Retama,15,4
234,37.4028629,-5.9217537,Avenida Doctor Emilio Lemos,15,4
235,37.4039396,-5.939739,Avenida Alcalde Luis Uruñuela,15,1
236,37.4117358,-5.9298591,Ciudad de Chiva,15,4
237,37.4102171,-5.9264224,Ciudad de Chiva,15,4
238,37.4081326,-5.919993,Ciudad de Chiva,15,1
239,37.3888532,-5.9962357,Plaza Nueva,20,4
240,37.38889,-5.9962396,Plaza Nueva,20,2
241,37.4247584,-5.9848237,Calle Navarra,15,4
242,37.3843494,-5.9653784,Avda. Cruz Campo,15,1
243,37.3837695,-5.9089219,Torres Albarracin,20,2
244,37.3673184,-5.9541171,Ocho de Marzo,30,3
245,37.378801,-5.9456668,Revoltosa,20,1
246,37.3902925,-5.9799642,Calle Juan Antonio Cabestany,15,2
248,37.3757344,-5.9991689,) Calle Virgen de Loreto,18,2
